Term	Notes	English
exotic_pineapple_name		Pineapple©
exotic_pineapple_description		An Exotic Co. fruit, Pineapple© aka Experiment 001.
exotic_idea_pineapple_status		Making a Pineapple© from Exotic Co. ...
exotic_idea_pineapple_grow		Growing a Pineapple© from Exotic Co.
exotic_mango_name		Mango©
exotic_mango_description		An Exotic Co. fruit, Mango© aka Experiment 002.
exotic_idea_mango_grow		Growing a Mango© from Exotic Co.
exotic_luxury_fruit_salad_name		Luxury Fruit Salad
exotic_luxury_fruit_salad_description		A salad made of Fruits only available to the wealthy.
exotic_idea_luxury_fruit_salad_status		Making an Expensive salad
exotic_alive_truffle_name		Living Truffle
exotic_alive_truffle_description		The result of Experiment 003a aka Alive Truffle. *IMPORTANT* Exotic Co. has no affiliation with Expt. 003a nor did they create it.
exotic_idea_alive_truffle_status		Recreating Expt. 003a...
exotic_truffle_name		Truffle©
exotic_truffle_description		An Exotic Co. food, Truffle© aka Experiment 003.
exotic_idea_magic_dust_status		Making magic...
exotic_coconut_name		Coconut©
exotic_coconut_description		Test123